Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,14,Deportivo de La Coruña ,5 – 1 ,Real Sociedad ,Riazor ,5 de diciembre ,20:45 ,20548,Munuera Montero ,5,0
2016,15,Málaga ,1 – 1 ,Granada ,La Rosaleda ,9 de diciembre ,20:45 ,20299,Álvarez Izquierdo ,8,0
2016,15,Osasuna ,0 – 3 ,Barcelona ,El Sadar ,10 de diciembre ,13:00 ,17349,Martínez Munuera ,3,0
2016,15,Real Sociedad ,3 – 2 ,Valencia ,Anoeta ,10 de diciembre ,16:15 ,22817,Estrada Fernández ,10,0
2016,15, Las Palmas ,1 – 1 ,Leganés ,Gran Canaria ,10 de diciembre ,18:30 ,19131,Gil Manzano ,6,0
2016,15,Real Madrid ,3 – 2 ,Deportivo de La Coruña ,Bernabéu ,10 de diciembre ,20:45 ,67174,Jaime Latre ,6,0
2016,15,Eibar ,0 – 0 ,Deportivo Alavés ,Ipurúa ,11 de diciembre ,12:00 ,5666,Trujillo Suárez ,2,0
2016,15,Celta de Vigo ,0 – 3 ,Sevilla ,Balaídos ,11 de diciembre ,16:15 ,19350,Undiano Mallenco ,6,0
2016,15,Espanyol ,2 – 1 ,Sporting de Gijón ,RCDE Stadium ,11 de diciembre ,18:30 ,19353,Del Cerro Grande ,3,0
2016,15,Betis ,1 – 0 ,Athletic Club ,Villamarín ,11 de diciembre ,20:45 ,34481,Mateu Lahoz ,5,0
2016,15,Villarreal ,3 – 0 ,Atlético de Madrid ,El Madrigal ,12 de diciembre ,20:45 ,19370,Hernández Hernández ,6,0
2016,16,Deportivo Alavés ,1 – 0 ,Betis ,Mendizorroza ,16 de diciembre ,20:45 ,18067,Iglesias Villanueva ,7,0
2016,16,Sporting de Gijón ,1 – 3 ,Villarreal ,El Molinón ,17 de diciembre ,13:00 ,19900,Vicandi Garrido ,3,0
2016,16,Atlético de Madrid ,1 – 0 , Las Palmas ,Vicente Calderón ,17 de diciembre ,16:15 ,39453,Melero López ,3,0
2016,16,Granada ,0 – 2 ,Real Sociedad ,Los Cármenes ,17 de diciembre ,18:30 ,12746,Ocón Arráiz ,1,0
2016,16,Sevilla ,4 – 1 ,Málaga ,Sánchez-Pizjuán ,17 de diciembre ,20:45 ,30324,Clos Gómez ,7,0
2016,16,Leganés ,1 – 1 ,Eibar ,Butarque ,18 de diciembre ,16:15 ,9231,González González ,4,1
2016,16,Deportivo de La Coruña ,2 – 0 ,Osasuna ,Riazor ,18 de diciembre ,18:30 ,22863,Sánchez Martínez ,4,0
2016,16,Barcelona ,4 – 1 ,Espanyol ,Camp Nou ,18 de diciembre ,20:45 ,79370,Mateu Lahoz ,3,0
2016,16,Athletic Club ,2 – 1 ,Celta de Vigo ,San Mamés ,19 de diciembre ,20:45 ,35808,Martínez Munuera ,8,0
2016,16,Valencia ,2 – 1 ,Real Madrid ,Mestalla ,22 de febrero ,18:45 ,45833,De Burgos Bengoetxea ,7,0
2016,17,Espanyol ,1 – 1 ,Deportivo de La Coruña ,RCDE Stadium ,6 de enero ,20:45 ,16347,De Burgos Bengoetxea ,4,0
2016,17,Real Madrid ,5 – 0 ,Granada ,Bernabéu ,7 de enero ,13:00 ,71184,Vicandi Garrido ,5,0
2016,17,Eibar ,0 – 2 ,Atlético de Madrid ,Ipurúa ,7 de enero ,16:15 ,5810,Gil Manzano ,4,0
2016,17, Las Palmas ,1 – 0 ,Sporting de Gijón ,Gran Canaria ,7 de enero ,18:30 ,21710,Munuera Montero ,5,0
2016,17,Real Sociedad ,0 – 4 ,Sevilla ,Anoeta ,7 de enero ,20:45 ,22374,Martínez Munuera ,5,0
2016,17,Athletic Club ,0 – 0 ,Deportivo Alavés ,San Mamés ,8 de enero ,12:00 ,42182,Del Cerro Grande ,6,0
2016,17,Betis ,2 – 0 ,Leganés ,Villamarín ,8 de enero ,16:15 ,36328,Estrada Fernández ,8,0
2016,17,Celta de Vigo ,3 – 1 ,Málaga ,Balaídos ,8 de enero ,18:30 ,17890,González González ,4,0
2016,17,Villarreal ,1 – 1 ,Barcelona ,La Cerámica ,8 de enero ,20:45 ,22893,Iglesias Villanueva ,5,0
2016,17,Osasuna ,3 – 3 ,Valencia ,El Sadar ,9 de enero ,20:45 ,12160,Álvarez Izquierdo ,7,0
2016,18,Leganés ,0 – 0 ,Athletic Club ,Butarque ,14 de enero ,13:00 ,10922,Jaime Latre ,6,0
2016,18,Barcelona ,5 – 0 , Las Palmas ,Camp Nou ,14 de enero ,16:15 ,81480,Undiano Mallenco ,7,0
2016,18,Atlético de Madrid ,1 – 0 ,Betis ,Vicente Calderón ,14 de enero ,18:30 ,46043,Clos Gómez ,3,0
2016,18,Deportivo de La Coruña ,0 – 0 ,Villarreal ,Riazor ,14 de enero ,20:45 ,19807,Ocón Arráiz ,1,0
2016,18,Valencia ,2 – 1 ,Espanyol ,Mestalla ,15 de enero ,12:00 ,33932,Sánchez Martínez ,5,0
2016,18,Celta de Vigo ,1 – 0 ,Deportivo Alavés ,Balaídos ,15 de enero ,16:15 ,15723,Melero López ,9,0
2016,18,Granada ,1 – 1 ,Osasuna ,Los Cármenes ,15 de enero ,18:30 ,14328,Trujillo Suárez ,8,1
2016,18,Sporting de Gijón ,2 – 3 ,Eibar ,El Molinón ,15 de enero ,18:30 ,20050,Fernández Borbalán ,4,0
2016,18,Sevilla ,2 – 1 ,Real Madrid ,Sánchez-Pizjuán ,15 de enero ,20:45 ,40386,Hernández Hernández ,4,0
2016,18,Málaga ,0 – 2 ,Real Sociedad ,La Rosaleda ,16 de enero ,20:45 ,18057,Mateu Lahoz ,2,0
2016,19, Las Palmas ,1 – 1 ,Deportivo de La Coruña ,Gran Canaria ,20 de enero ,20:45 ,18051,Fernández Borbalán ,3,0
2016,19,Espanyol ,3 – 1 ,Granada ,RCDE Stadium ,21 de enero ,13:00 ,15184,Clos Gómez ,3,0
2016,19,Real Madrid ,2 – 1 ,Málaga ,Bernabéu ,21 de enero ,16:15 ,72687,Gil Manzano ,5,0
2016,19,Deportivo Alavés ,2 – 2 ,Leganés ,Mendizorroza ,21 de enero ,18:30 ,19126,Munuera Montero ,6,0
2016,19,Villarreal ,0 – 2 ,Valencia ,La Cerámica ,21 de enero ,20:45 ,17615,González González ,4,0
2016,19,Osasuna ,3 – 4 ,Sevilla ,El Sadar ,22 de enero ,12:00 ,15211,Estrada Fernández ,8,0
2016,19,Athletic Club ,2 – 2 ,Atlético de Madrid ,San Mamés ,22 de enero ,16:15 ,44263,Iglesias Villanueva ,5,0
2016,19,Betis ,0 – 0 ,Sporting de Gijón ,Villamarín ,22 de enero ,18:30 ,35097,Undiano Mallenco ,4,0
2016,19,Real Sociedad ,1 – 0 ,Celta de Vigo ,Anoeta ,22 de enero ,18:30 ,19845,Del Cerro Grande ,4,0
2016,19,Eibar ,0 – 4 ,Barcelona ,Ipurúa ,22 de enero ,20:45 ,6340,Sánchez Martínez ,4,0
2016,20,Osasuna ,1 – 1 ,Málaga ,El Sadar ,27 de enero ,20:45 ,14262,De Burgos Bengoetxea ,1,0
2016,20,Villarreal ,2 – 0 ,Granada ,La Cerámica ,28 de enero ,13:00 ,15152,Álvarez Izquierdo ,5,0
2016,20,Deportivo Alavés ,0 – 0 ,Atlético de Madrid ,Mendizorroza ,28 de enero ,16:15 ,19152,Ocón Arráiz ,5,0
2016,20,Eibar ,3 – 1 ,Deportivo de La Coruña ,Ipurúa ,28 de enero ,18:30 ,5617,Martínez Munuera ,2,0
2016,20,Leganés ,0 – 2 ,Celta de Vigo ,Butarque ,28 de enero ,20:45 ,10123,Trujillo Suárez ,2,0
2016,20,Betis ,1 – 1 ,Barcelona ,Villamarín ,29 de enero ,12:00 ,43790,Hernández Hernández ,5,0
2016,20,Espanyol ,3 – 1 ,Sevilla ,RCDE Stadium ,29 de enero ,16:15 ,22974,Vicandi Garrido ,4,1
2016,20,Athletic Club ,2 – 1 ,Sporting de Gijón ,San Mamés ,29 de enero ,18:30 ,41657,Clos Gómez ,8,0
2016,20,Real Madrid ,3 – 0 ,Real Sociedad ,Bernabéu ,29 de enero ,20:45 ,66693,Melero López ,5,0
